usuario,productos_tot_num,compras_tot_num,precio_medio_prod,ultima_compra,gasto_tot,productos_por_compra,F,M,ult_compra_dias,R,valor,RFM
273595630,100,7,2.5008,2020-02-29,250.07999999999998,14.285714285714286,2,1,0,5,8,521
273961333,4,1,5.24,2019-11-20,20.96,4.0,1,1,101,2,4,211
274492967,43,1,4.316511627906977,2020-01-28,185.61,43.0,1,1,32,4,6,411
274850180,3,1,4.366666666666666,2019-12-22,13.099999999999998,3.0,1,1,69,3,5,311
275390571,13,1,3.21,2019-11-14,41.73,13.0,1,1,107,2,4,211
275824683,60,9,7.678333333333333,2020-01-06,460.7,6.666666666666667,2,2,54,4,8,422
275874652,8,1,4.2612499999999995,2019-11-28,34.089999999999996,8.0,1,1,93,2,4,211
276522643,7,1,3.6685714285714286,2019-11-30,25.68,7.0,1,1,91,2,4,211
276811622,24,2,3.7237500000000003,2019-10-06,89.37,12.0,1,1,146,1,3,111
277853305,40,5,3.4450000000000003,2020-02-27,137.8,8.0,1,1,2,5,7,511
278166891,6,1,6.6000000000000005,2020-01-19,39.6,6.0,1,1,41,4,6,411
278355334,1,1,19.27,2019-11-25,19.27,1.0,1,1,96,2,4,211
278519995,13,1,3.020769230769231,2019-11-12,39.27,13.0,1,1,109,2,4,211
278594851,12,3,11.839166666666666,2020-02-09,142.07,4.0,1,1,20,5,7,511
278620993,13,2,3.1976923076923076,2020-01-08,41.57,6.5,1,1,52,4,6,411
278695124,8,1,4.17375,2019-12-27,33.39,8.0,1,1,64,3,5,311
278908478,13,2,2.765384615384615,2019-11-30,35.949999999999996,6.5,1,1,91,2,4,211
279430445,16,3,3.408125,2020-01-23,54.53,5.333333333333333,1,1,37,4,6,411
280507427,31,2,5.63516129032258,2020-01-28,174.69,15.5,1,1,32,4,6,411
280566845,3,1,4.88,2019-11-20,14.64,3.0,1,1,101,2,4,211
281074547,4,1,11.899999999999999,2020-01-11,47.599999999999994,4.0,1,1,49,4,6,411
281622217,6,1,2.223333333333333,2019-12-15,13.34,6.0,1,1,76,3,5,311
282471564,10,1,1.7100000000000002,2019-12-13,17.1,10.0,1,1,78,3,5,311
283548060,22,1,5.208181818181818,2019-11-13,114.58,22.0,1,1,108,2,4,211
284649001,30,3,4.516666666666667,2019-12-15,135.5,10.0,1,1,76,3,5,311
284812352,1,1,14.52,2019-10-09,14.52,1.0,1,1,143,1,3,111
284835329,4,1,2.34,2019-11-30,9.36,4.0,1,1,91,2,4,211
284912195,9,2,6.828888888888889,2020-02-26,61.46,4.5,1,1,3,5,7,511
284930378,11,1,5.321818181818181,2019-10-02,58.53999999999999,11.0,1,1,150,1,3,111
285227809,7,1,4.735714285714287,2019-11-18,33.150000000000006,7.0,1,1,103,2,4,211
286065273,72,5,5.2756944444444445,2020-02-27,379.85,14.4,1,2,2,5,8,512
286272946,8,2,2.9525,2019-12-16,23.62,4.0,1,1,75,3,5,311
286569166,21,1,3.061428571428572,2019-10-05,64.29,21.0,1,1,147,1,3,111
286794775,14,2,4.845714285714286,2020-01-10,67.84,7.0,1,1,50,4,6,411
286981231,54,2,2.5574074074074074,2020-02-10,138.1,27.0,1,1,19,5,7,511
287730661,2,1,14.920000000000002,2019-12-24,29.840000000000003,2.0,1,1,67,3,5,311
287760867,3,1,10.096666666666666,2019-11-03,30.29,3.0,1,1,118,2,4,211
288156953,49,2,4.338367346938775,2019-12-03,212.57999999999998,24.5,1,1,88,3,5,311
288721487,1,1,21.43,2019-11-01,21.43,1.0,1,1,120,2,4,211
288731469,5,1,4.6,2020-01-25,23.0,5.0,1,1,35,4,6,411
288952080,5,1,2.922,2019-10-08,14.610000000000001,5.0,1,1,144,1,3,111
289028251,5,1,15.542000000000002,2019-10-01,77.71000000000001,5.0,1,1,151,1,3,111
289170460,1,1,9.52,2020-01-01,9.52,1.0,1,1,59,4,6,411
289352630,12,1,4.3933333333333335,2020-01-28,52.72,12.0,1,1,32,4,6,411
289443402,14,1,3.894285714285714,2019-11-24,54.519999999999996,14.0,1,1,97,2,4,211
289489584,8,1,4.60875,2019-11-22,36.87,8.0,1,1,99,2,4,211
289540250,5,1,3.4160000000000004,2019-12-02,17.080000000000002,5.0,1,1,89,3,5,311
290011593,22,2,4.2250000000000005,2020-02-10,92.95000000000002,11.0,1,1,19,5,7,511
290457607,12,1,2.4008333333333334,2019-11-23,28.810000000000002,12.0,1,1,98,2,4,211
290808093,7,1,4.185714285714286,2019-12-06,29.3,7.0,1,1,85,3,5,311
291275195,2,1,14.215,2019-11-22,28.43,2.0,1,1,99,2,4,211
291293762,7,1,11.465714285714286,2019-12-09,80.26,7.0,1,1,82,3,5,311
291850374,1,1,22.19,2020-02-01,22.19,1.0,1,1,28,5,7,511
291860648,3,1,4.390000000000001,2020-02-29,13.170000000000002,3.0,1,1,0,5,7,511
291985083,23,2,4.440434782608696,2020-02-19,102.13000000000001,11.5,1,1,10,5,7,511
292033337,90,9,6.102444444444445,2020-02-15,549.22,10.0,2,2,14,5,9,522
292123845,14,1,3.920714285714286,2019-11-28,54.89,14.0,1,1,93,2,4,211
292245575,4,1,6.0725,2019-11-10,24.29,4.0,1,1,111,2,4,211
293566622,4,1,2.5375,2019-11-19,10.15,4.0,1,1,102,2,4,211
293590915,1,1,5.24,2019-10-25,5.24,1.0,1,1,127,1,3,111
293886700,8,1,6.2124999999999995,2019-11-28,49.699999999999996,8.0,1,1,93,2,4,211
293913530,5,2,11.082,2020-02-09,55.410000000000004,2.5,1,1,20,5,7,511
294395749,5,1,2.984,2020-01-12,14.92,5.0,1,1,48,4,6,411
