,categoria,conteo
340,1858245586344477369,9
25,1487580005838881657,9
415,2154396123597373922,8
400,2121383893343929118,8
120,1487580008858779653,8
58,1487580007004898224,8
191,1487580011601854587,8
322,1783999072407912622,8
51,1487580006820348840,8
83,1487580007701152718,7
10,1487580005293622112,7
11,1487580005343953762,7
338,1842735764509557576,7
31,1487580006056985476,7
269,1487580013992607968,7
50,1487580006711296933,7
57,1487580006979732399,7
149,1487580009974464562,6
408,2151191059827262021,6
64,1487580007139115958,6
305,1759024699007828783,6
433,2235524494015856752,6
47,1487580006568690590,6
428,2195085258179739843,6
53,1487580006870680490,5
379,2022516588854378951,5
385,2055368408169447599,4
271,1487580014042939619,4
224,1487580012809814181,4
213,1487580012507824279,4
342,1889472915104072007,4
378,2020400296164851991,4
351,1911999884991397970,3
302,1752742606699234159,3
372,1998040850688377703,3
43,1487580006484804506,3
98,1487580008070251489,3
315,1783999067181810204,3
434,2235524499216793855,3
222,1487580012759482531,2
221,1487580012734316706,2
419,2187686850687140020,2
430,2195085258339123402,2
207,1487580012147114126,2
333,1810470908326838736,2
406,2145935122136826354,2
364,1962525462299148572,2
63,1487580007113950133,2
29,1487580005922767741,2
368,1977786601392047073,2
365,1977575775473238831,2
403,2134354356349173879,2
386,2060156961931919712,1
204,1487580012071616651,1
282,1547480590851244887,1
101,1487580008128971748,1
148,1487580009798303788,1
363,1962525126503170858,1
416,2155132423103316327,1
112,1487580008590345208,1
303,1752742610406999036,1
362,1962525118928257818,1
122,1487580008951054345,1
52,1487580006845514665,1
146,1487580009647308839,1
267,1487580013933887709,1
